
Host: cmpsrv002

Timers On : Thu Sep 26 15:15:51 2024
Timers Off: Thu Sep 26 15:17:37 2024

Wall Time:      105.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Disp22 (SDQ)                        :     16.867u      2.283s      2.929w      1 calls
Disp22 (T)                          :    486.750u     11.750s     74.781w      1 calls

--------------------------------------------------------------------------------------
SAPT: Dimer SCF                     :     22.433u      2.483s      7.328w      1 calls
| Libint2ERI::Libint2ERI            :      0.750u      0.033s      0.466w      2 calls
| JK: (A|mn)                        :      0.767u      0.283s      0.265w      1 calls
| JK: (A|Q)^-1/2                    :      0.283u      0.033s      0.093w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.017s      0.003w      4 calls
| JK: (Q|mn)                        :      0.683u      0.083s      0.230w      1 calls
| HF: Form core H                   :      3.500u      0.217s      1.119w      1 calls
| HF: Form S/X                      :      0.200u      0.033s      0.064w      1 calls
| HF: Guess                         :      3.067u      0.333s      0.748w      1 calls
| | SAD Guess                       :      3.067u      0.333s      0.747w      1 calls
| HF: Form G                        :      5.533u      0.183s      1.680w     12 calls
| | JK: D                           :      0.100u      0.033s      0.040w     12 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     12 calls
| | JK: JK                          :      5.083u      0.117s      1.525w     12 calls
| | | JK: J                         :      0.567u      0.050s      0.186w     12 calls
| | | | JK: J1                      :      0.217u      0.017s      0.070w     12 calls
| | | | JK: J2                      :      0.300u      0.033s      0.111w     12 calls
| | | JK: K                         :      4.450u      0.067s      1.309w     12 calls
| | | | JK: K1                      :      3.500u      0.033s      1.015w     12 calls
| | | | JK: K2                      :      0.933u      0.033s      0.293w     12 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     12 calls
| HF: Form F                        :      0.100u      0.000s      0.031w     12 calls
| HF: Form D                        :      0.133u      0.017s      0.043w     12 calls
| HF: DIIS                          :      2.300u      0.400s      0.796w     11 calls
| HF: Form C                        :      2.900u      0.367s      1.003w     11 calls
DFMP2 Singles                       :      0.133u      0.017s      0.068w      3 calls
DFMP2 Aia                           :     13.133u      1.833s      5.220w      3 calls
| Libint2ERI::Libint2ERI            :      3.800u      0.217s      1.845w     12 calls
| DFMP2 (A|mn)                      :      5.250u      0.000s      1.456w      3 calls
| DFMP2 (A|mn)C_mi                  :      2.400u      0.033s      0.699w      3 calls
